Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,66.8976,65.9298,64.962,64.0868,63.2116,62.3364,61.4612,60.586,61.264,61.942,62.62,63.298,63.976,63.9136,63.8512,63.7888,..
Argentina,ARG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,5.05302148878072,4.89280607440549,10.822087179809,11.0423301528658,9.82935654773087,9.28718146697864,8.12453568694915,8.7819708328658,8.68127404081639,6.251936103725,8.44560207729033,8.28755259790963,6.84739498131302,7.18872235000127,7.95032571638405,6.00091527379954,..
Argentina,ARG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,12.9383561643836,..,12.9383561643836,..,..
Argentina,ARG,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,98.9,98.7,98.7,99.1,99.4,99.4,94.8,97.9,94.97,97.14,98.2,97.04,..,..,..
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.83557356194987,3.56859738999216,3.29154139320549,3.52557543531985,4.06904976449296,4.14123649643327,4.43483714728094,4.38270408111824,4.68297374117983,4.41097270862527,4.55861174166042,4.60043017969054,4.56963523938012,4.46229797972199,..,..,..
Argentina,ARG,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,..,65.3,..,..,..,78.9,..,..,..,..,..,..,55.4,76.6,..,..,..
Argentina,ARG,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,34.4516920194227,37.2433637548649,62.4210861219528,50.6278207919725,41.8949109840424,34.8079606285463,28.0450605645872,25.715994724251,21.8660129957132,25.5476391927167,25.1961956371773,26.315215781746,30.43651817647,33.0597170470815,34.2105575802996,41.2305894574337,..
Argentina,ARG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2078.2863841182,2109.49458035279,2003.43404362001,2167.7143839742,2279.28699428626,2392.89373072367,2357.96126015104,2438.00941923727,2752.12682130046,2708.98729200318,2847.3268785838,2901.36148748827,2954.53945084126,3093.353228187,..,..,..
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1661.60550753448,1563.12609024423,1502.22488095167,1589.54109916672,1717.95722550296,1710.82337426806,1841.98580592157,1846.93675638893,1924.37262671903,1852.32314478318,1909.7257044784,1918.5063785877,1906.62981149596,1894.6178719302,..,..,..
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,10.986396203428,11.5791314930307,28.3826540405656,25.9309089022757,23.8476194324778,23.1575008489843,22.925705831282,22.5605274924841,21.9649470151832,19.4724539349817,18.8320826553862,18.3441258128792,16.150463250924,14.5609399634345,14.3170877945558,11.0578189784346,..
Argentina,ARG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,150062927000,152649934000,148320196000,163442689000,167999631000,130788489000,118921237000,120818040000,129752181000,133695117000,126641210000,139509123000,136543043000,146568611000,144971849000,159693583000,..
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.561,2.537,2.516,2.495,2.474,2.452,2.432,2.413,2.396,2.382,2.37,2.358,2.347,2.335,2.322,..,..
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,10418314339.1428,2166136829.76399,2148910000,1652010000,4124710000,5265250000,5537340000,6473150000,9725560000,4017158924.88408,11332718626.4345,10839930944.6815,15323933916.8241,9821661858.15874,5065335541.96486,11978689466.5893,..
Argentina,ARG,Forest area (sq. km),AG.LND.FRST.K2,318600,315252,311904,308556,305208,301860,298680,295500,292320,289140,285960,282992,280024,277056,274088,271120,..
